# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
2019 rank;Name;State;2019 estimate;Land area
171;Pomona;California;151 691;59
172;Killeen;Texas;151 666;138
173;Escondido;California;151 625;96
174;Pasadena;Texas;151 227;112
175;Naperville;Illinois;148 449;100
176;Bellevue;Washington;148 164;86
177;Joliet;Illinois;147 344;166
178;Murfreesboro;Tennessee;1 469;144
179;Midland;Texas;146 038;192
180;Rockford;Illinois;145 609;164
181;Paterson;New Jersey;145 233;21
182;Savannah;Georgia;144 464;268
183;Bridgeport;Connecticut;144 399;41
184;Torrance;California;143 592;53
185;McAllen;Texas;143 268;151
186;Syracuse;New York;142 327;64
187;Surprise;Arizona;141 664;279
188;Denton;Texas;141 541;241
189;Roseville;California;1 415;111
190;Thornton;Colorado;141 464;92
191;Miramar;Florida;141 191;76
192;Pasadena;California;141 029;59
193;Mesquite;Texas;140 937;122
194;Olathe;Kansas;140 545;157
195;Dayton;Ohio;140 407;144
196;Carrollton;Texas;139 248;94
197;Waco;Texas;139 236;230
198;Orange;California;138 669;65
199;Fullerton;California;138 632;58
200;Charleston;South Carolina;137 566;282
201;West Valley City;Utah;135 248;91
202;Visalia;California;134 605;97
203;Hampton;Virginia;13 451;133
204;Gainesville;Florida;133 997;161
205;Warren;Michigan;133 943;89
206;Coral Springs;Florida;133 759;61
207;Cedar Rapids;Iowa;133 562;183
208;Round Rock;Texas;133 372;92
209;Sterling Heights;Michigan;132 438;94
210;Kent;Washington;132 319;87
211;Columbia;South Carolina;131 674;345
212;Santa Clara;California;130 365;47
213;New Haven;Connecticut;13 025;48
214;Stamford;Connecticut;129 638;97
215;Concord;California;129 295;79
216;Elizabeth;New Jersey;129 216;31
217;Athens;Georgia;126 913;301
218;Thousand Oaks;California;126 813;143
219;Lafayette;Louisiana;126 185;139
220;Simi Valley;California;125 613;107
221;Topeka;Kansas;12 531;159
222;Norman;Oklahoma;12 488;463
223;Fargo;North Dakota;124 662;127
224;Wilmington;North Carolina;123 744;133
225;Abilene;Texas;12 342;276
226;Odessa;Texas;123 334;117
227;Columbia;Missouri;123 195;168
228;Pearland;Texas;12 246;119
229;Victorville;California;122 385;189
230;Hartford;Connecticut;122 105;45
231;Vallejo;California;121 692;79
232;Allentown;Pennsylvania;121 442;45
233;Berkeley;California;121 363;27
234;Richardson;Texas;121 323;74
235;Arvada;Colorado;121 272;100
236;Ann Arbor;Michigan;11 998;72
237;Rochester;Minnesota;118 935;141
238;Cambridge;Massachusetts;118 927;16
239;Sugar Land;Texas;118 488;88
240;Lansing;Michigan;11 821;101
241;Evansville;Indiana;117 979;122
242;College Station;Texas;117 911;132
243;Fairfield;California;117 133;105
244;Clearwater;Florida;116 946;67
245;Beaumont;Texas;116 825;212
246;Independence;Missouri;116 672;201
247;Provo;Utah;116 618;108
248;West Jordan;Utah;11 648;83
249;Murrieta;California;116 223;87
250;Palm Bay;Florida;115 552;170
251;El Monte;California;115 487;24
252;Carlsbad;California;115 382;97
252;North Charleston;South Carolina;115 382;190
254;Temecula;California;114 761;96
255;Clovis;California;114 584;62
256;Springfield;Illinois;11 423;155
257;Meridian;Idaho;114 161;77
258;Westminster;Colorado;113 166;82
259;Costa Mesa;California;113 003;40
260;High Point;North Carolina;112 791;143
261;Manchester;New Hampshire;112 673;85
262;Pueblo;Colorado;112 361;138
263;Lakeland;Florida;112 136;170
264;Pompano Beach;Florida;112 118;62
265;West Palm Beach;Florida;111 955;142
266;Antioch;California;111 502;76
267;Everett;Washington;111 475;86
268;Downey;California;111 126;32
269;Lowell;Massachusetts;110 997;35
270;Centennial;Colorado;110 937;76
271;Elgin;Illinois;110 849;96
272;Richmond;California;110 567;78
273;Peoria;Illinois;110 417;124
274;Broken Arrow;Oklahoma;110 198;159
275;Miami Gardens;Florida;110 001;47
276;Billings;Montana;109 577;113
277;Jurupa Valley;California;109 527;111
278;Sandy Springs;Georgia;109 452;97
279;Gresham;Oregon;109 381;60
280;Lewisville;Texas;109 212;95
281;Hillsboro;Oregon;109 128;64
282;Ventura;California;109 106;56
283;Greeley;Colorado;108 649;123
284;Inglewood;California;108 151;23
285;Waterbury;Connecticut;107 568;73
286;League City;Texas;107 536;132
287;Santa Maria;California;107 263;59
288;Tyler;Texas;106 985;146
289;Davie;Florida;106 306;90
290;Lakewood;New Jersey;1 063;64
291;Daly City;California;10 628;19
292;Boulder;Colorado;105 673;64
293;Allen;Texas;105 623;70
294;West Covina;California;105 101;41
295;Sparks;Nevada;105 006;93
296;Wichita Falls;Texas;104 683;187
297;Green Bay;Wisconsin;104 578;117
298;San Mateo;California;10 443;31
299;Norwalk;California;103 949;25
300;Rialto;California;103 526;57
301;Las Cruces;New Mexico;103 432;199
302;Chico;California;103 301;86
303;El Cajon;California;102 708;37
304;Burbank;California;102 511;45
305;South Bend;Indiana;102 026;107
306;Renton;Washington;101 751;60
307;Vista;California;101 638;48
308;Davenport;Iowa;10 159;162
309;Edinburg;Texas;10 117;97
310;Tuscaloosa;Alabama;101 129;185
311;Carmel;Indiana;101 068;123
312;Spokane Valley;Washington;10 106;97
313;San Angelo;Texas;101 004;155
314;Vacaville;California;10 067;75
315;Clinton;Michigan;100 471;72
316;Bend;Oregon;100 421;85
317;Woodbridge;New Jersey;100 145;60
